stage,iter_in_stage,global_iter,alpha,kl_weight,loss_total,loss_con,loss_exp_res,loss_i_con,loss_i_pae,loss_pae,loss_plddt,loss_seq_ent,binder_plddt_mean,binder_plddt_min,binder_plddt_max,target_plddt_mean,ptm,i_ptm,pae,temp,accepted_loss
stage1,0,1,0.9,0.1,7.875694751739502,5.380935192108154,0.49937936663627625,7.821745872497559,0.8628021478652954,0.8175075054168701,0.5394864678382874,2.0756070613861084,0.46202111364615084,0.31511586904525757,0.6017996668815613,0.9688461262446183,0.4480801820755005,0.1758408546447754,22.672506579151516,,
stage1,1,2,0.8905405405405405,0.09895833333333334,7.707764148712158,5.2874345779418945,0.4828954339027405,7.65348482131958,0.866216778755188,0.8113900423049927,0.5427955389022827,2.0638139247894287,0.47677725011652167,0.29008007049560547,0.6404269933700562,0.967029509636072,0.44527310132980347,0.18498125672340393,22.58074994321224,,
stage1,2,3,0.8810810810810811,0.09791666666666667,7.726998805999756,4.993767738342285,0.45622679591178894,7.6703410148620605,0.8761938810348511,0.8140149712562561,0.5665783286094666,2.0509583950042725,0.4689872394306491,0.34111276268959045,0.6529079675674438,0.9673468154210311,0.44310086965560913,0.17938202619552612,22.697740868525372,,
stage1,3,4,0.8716216216216216,0.096875,7.497984886169434,4.98137092590332,0.41154107451438904,7.440398216247559,0.8835455775260925,0.8008311986923218,0.5758671164512634,2.037332773208618,0.4720386028891862,0.27170732617378235,0.7446232438087463,0.9648317832213181,0.429045170545578,0.15302729606628418,22.496396894016748,,
stage1,4,5,0.8621621621621622,0.09583333333333334,7.437704086303711,4.991946697235107,0.42404377460479736,7.380887031555176,0.8830609917640686,0.7979359030723572,0.5681718587875366,2.0281569957733154,0.48202858940519466,0.3145497441291809,0.6232426166534424,0.9679538662617023,0.4299129247665405,0.15854176878929138,22.42839049071217,,
stage1,5,6,0.8527027027027028,0.09479166666666668,7.362911701202393,4.953941345214844,0.4475845694541931,7.307858943939209,0.8791146278381348,0.7898117303848267,0.5505256652832031,2.0207619667053223,0.5023439135214295,0.29496511816978455,0.6811791658401489,0.9672174146542183,0.4292694628238678,0.15149955451488495,22.241235464818725,,
stage1,6,7,0.8432432432432433,0.09375,7.290080547332764,5.05549430847168,0.4170720875263214,7.237103462219238,0.8827728629112244,0.7895587086677551,0.5297695994377136,2.009965658187866,0.5249091862428068,0.3672971725463867,0.6772676706314087,0.9652776534740741,0.42908644676208496,0.15479813516139984,22.26870939123712,,
stage1,7,8,0.8337837837837838,0.09270833333333334,7.386134147644043,5.0374956130981445,0.42689448595046997,7.334070205688477,0.8803101778030396,0.7838215231895447,0.5206379890441895,1.9986637830734253,0.5422986131725889,0.3200429081916809,0.6789067983627319,0.9663762349348802,0.43089377880096436,0.14691811800003052,22.136688332871433,,
stage1,8,9,0.8243243243243243,0.09166666666666667,7.247121810913086,5.068553447723389,0.4082639217376709,7.194149971008301,0.8787599205970764,0.7772221565246582,0.529716968536377,1.993282675743103,0.5505223358520354,0.3670786917209625,0.7216976881027222,0.9649326723355514,0.4315361976623535,0.14494624733924866,21.999055536304517,,
stage1,9,10,0.8148648648648649,0.09062500000000001,7.121883392333984,5.062448978424072,0.4028814435005188,7.072986125946045,0.8756046295166016,0.7743089199066162,0.4889712631702423,1.9798583984375,0.6067940345918289,0.3498266339302063,0.7771433591842651,0.9635516767318432,0.43005573749542236,0.1420503407716751,21.91559739022199,,
